Model,param,Accuracy,Precision,Recall,F1,ROC-AUC
Static 3-sigma threshold,1.5,0.913,0.5459,0.9907,0.7039,0.994
Static 3-sigma threshold,2.0,0.9754,0.8152,0.988,0.8933,0.994
Static 3-sigma threshold,2.5,0.99,0.9238,0.9853,0.9535,0.994
Static 3-sigma threshold,3.0,0.9926,0.9485,0.9827,0.9653,0.994
Static 3-sigma threshold,4.0,0.993,0.9545,0.98,0.9671,0.994
Static 3-sigma threshold,5.0,0.9929,0.9581,0.9747,0.9663,0.994
Isolation Forest,0.005,0.9252,0.8813,0.3267,0.4767,0.987
Isolation Forest,0.01,0.9702,0.9024,0.8013,0.8489,0.987
Isolation Forest,0.02,0.9789,0.8493,0.9693,0.9054,0.987
Isolation Forest,0.05,0.9542,0.6977,0.9907,0.8187,0.987
Isolation Forest,0.1,0.9094,0.5357,0.9907,0.6954,0.987
One-Class SVM (proposed),0.005,0.9901,0.927,0.9827,0.954,0.9939
One-Class SVM (proposed),0.01,0.9882,0.907,0.988,0.9458,0.9915
One-Class SVM (proposed),0.02,0.9802,0.847,0.9893,0.9127,0.9913
One-Class SVM (proposed),0.05,0.9541,0.697,0.9907,0.8183,0.9915
One-Class SVM (proposed),0.1,0.9096,0.5361,0.9907,0.6957,0.9917
